init train,0,144.2919873218886
train,5,133.69081614761228
train,10,133.28344505504703
train,15,132.29230130403732
train,20,133.38250014875268
train,25,133.18916147495221
train,30,135.77007642700863
train,35,134.17540479585693
train,40,133.22514696719554
train,45,133.45526188288312
train,50,133.71202121583565
train,55,134.22690523028407
train,60,134.29648558898427
train,65,132.1935500218566
train,70,133.42810416470363
train,75,132.1926291696128
train,80,133.48725209176237
train,85,133.16981730690014
train,90,134.41208278248016
train,95,135.87814687126448
train,100,135.11221836402552
train,200,133.2365689013355
train,300,135.08587243523561
train,400,132.9030918655345
train,500,133.43794921818247
train,600,133.564802141147
train,700,134.34067066977536
train,800,133.32192133186686
train,900,131.85013174232893
train,1000,131.1390411436954
test,0,162.6833149574467
test,200,157.71676045710413
time,106.57166194915771,0
